Body data file part 2
n1,n2,n3 = unit normals
 n1            n2             n3
-0.145842E+00 -0.981707E+00   0.122402E+00
-0.117156E+00 -0.982247E+00   0.146513E+00
-0.832123E-01 -0.981840E+00   0.170487E+00
-0.440928E-01 -0.979980E+00   0.194153E+00
 0.000000E+00 -0.976109E+00   0.217280E+00
-0.219098E+00 -0.975703E+00   0.000000E+00
-0.216755E+00 -0.976109E+00   0.151122E-01
-0.209122E+00 -0.977392E+00   0.311899E-01
-0.196124E+00 -0.979435E+00   0.473464E-01
-0.177659E+00 -0.982034E+00   0.636061E-01
-0.153604E+00 -0.984891E+00   0.799721E-01
-0.123840E+00 -0.987607E+00   0.964181E-01
-0.882916E-01 -0.989678E+00   0.112880E+00
-0.469639E-01 -0.990500E+00   0.129247E+00
 0.000000E+00 -0.989380E+00   0.145355E+00
-0.226364E+00 -0.974043E+00   0.000000E+00
-0.225108E+00 -0.974319E+00   0.540581E-02
-0.218420E+00 -0.975760E+00   0.136008E-01
-0.205895E+00 -0.978330E+00   0.218453E-01
-0.187399E+00 -0.981821E+00   0.301611E-01
-0.162761E+00 -0.985912E+00   0.385589E-01
-0.131799E+00 -0.990160E+00   0.470329E-01
-0.943640E-01 -0.993986E+00   0.555546E-01
-0.503971E-01 -0.996672E+00   0.640672E-01
 0.000000E+00 -0.997370E+00   0.724804E-01
-0.100000E+01  0.000000E+00   0.000000E+00
-0.100000E+01  0.000000E+00   0.000000E+00
-0.100000E+01  0.000000E+00   0.000000E+00
-0.100000E+01  0.000000E+00   0.000000E+00
-0.100000E+01  0.000000E+00   0.000000E+00
-0.100000E+01  0.000000E+00   0.000000E+00
-0.100000E+01  0.000000E+00   0.000000E+00
-0.100000E+01  0.000000E+00   0.000000E+00
-0.100000E+01  0.000000E+00   0.000000E+00
-0.100000E+01  0.000000E+00   0.000000E+00
