Body data file part 1
xf,yf,zf = collocation points
xs,ys,zs = source points
dphifdn = Body boundary condition
sigma = source strength (this is the solution I got)
Number of body nodes =   510
 xf            yf             zf             xs             ys             zs             dphifn         sigma
-0.426737E+01  0.847566E+00  -0.147334E-01  -0.424854E+01   0.594736E+00  -0.106916E-01  -0.220299E+00  -0.120887E-01
-0.426737E+01  0.835152E+00  -0.151985E+00  -0.424906E+01   0.585622E+00  -0.110835E+00  -0.214239E+00   0.407257E-02
-0.426737E+01  0.802298E+00  -0.289237E+00  -0.425035E+01   0.560915E+00  -0.213483E+00  -0.199091E+00  -0.480468E-02
-0.426737E+01  0.749004E+00  -0.426489E+00  -0.425225E+01   0.519296E+00  -0.320190E+00  -0.176877E+00  -0.405705E-03
-0.426737E+01  0.675270E+00  -0.563741E+00  -0.425455E+01   0.459241E+00  -0.431600E+00  -0.149968E+00  -0.163682E-02
-0.426737E+01  0.581096E+00  -0.700993E+00  -0.425707E+01   0.379444E+00  -0.547616E+00  -0.120465E+00  -0.302073E-04
-0.426737E+01  0.466482E+00  -0.838244E+00  -0.425969E+01   0.278988E+00  -0.667714E+00  -0.899152E-01  -0.136291E-02
-0.426737E+01  0.331428E+00  -0.975496E+00  -0.426230E+01   0.157328E+00  -0.791221E+00  -0.593195E-01   0.488662E-02
-0.426737E+01  0.175934E+00  -0.111275E+01  -0.426487E+01   0.142021E-01  -0.917478E+00  -0.292520E-01  -0.575953E-02
-0.426737E+01  0.000000E+00  -0.125000E+01  -0.426737E+01   0.000000E+00  -0.104591E+01   0.000000E+00   0.331770E-02
-0.375302E+01  0.883214E+00  -0.155827E-01  -0.373631E+01   0.623203E+00  -0.110015E-01  -0.190209E+00  -0.895478E-02
-0.375302E+01  0.870162E+00  -0.152740E+00  -0.373679E+01   0.613874E+00  -0.108479E+00  -0.184715E+00   0.197006E-02
